district_area_maharashtra,nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,crop_label
Osmanabad,51,118,133,29.5,44.73,7.16,167.97,grapes
Amravati,42,31,183,24.51,64.9,6.18,1029.44,rice
Nagpur,102,77,114,26.91,55.99,5.57,925.96,coffee
Beed,1,84,50,22.8,64.11,6.74,777.12,mothbeans
Beed,43,45,13,27.61,57.49,6.93,1147.79,cotton
Wardha,79,50,130,30.0,71.44,5.77,181.35,cotton
Akola,55,32,165,34.64,88.97,6.11,1045.64,muskmelon
Dhule,60,61,18,21.98,78.91,6.05,862.74,chickpea
Amravati,50,72,173,33.56,68.19,6.08,269.97,muskmelon
Beed,53,132,203,27.22,44.48,6.3,682.83,jute
Wardha,48,84,152,23.85,85.41,6.69,1132.3,chickpea
Parbhani,129,68,55,34.01,45.56,6.73,664.47,banana
Kolhapur,110,89,136,21.69,40.29,5.9,615.58,rice
Nashik,61,123,13,34.24,71.75,6.45,155.15,mungbean
Latur,21,90,99,34.4,42.99,6.4,1052.35,coffee
Kolhapur,27,81,60,20.61,73.23,6.28,403.6,blackgram
Akola,57,105,94,30.46,75.36,6.2,979.29,grapes
Parbhani,88,16,189,34.95,51.4,6.96,222.99,grapes
Dhule,19,20,161,26.13,47.37,7.27,1125.27,kidneybeans
Ahmednagar,42,65,146,24.09,75.43,7.27,674.23,lentil
Latur,134,36,20,30.3,78.26,6.24,476.96,chickpea
Nagpur,21,77,65,34.09,51.75,6.92,800.59,mango
Nashik,134,129,146,20.34,44.27,6.55,537.38,grapes
Latur,11,141,10,20.08,54.72,7.42,642.85,apple
Solapur,115,94,65,31.04,73.47,5.7,922.01,maize
Akola,65,136,153,22.72,80.58,6.28,1117.2,papaya
Aurangabad,17,9,70,20.71,62.07,6.1,767.2,watermelon
Amravati,111,61,140,24.45,81.04,7.22,918.21,watermelon
Aurangabad,29,21,166,21.66,53.59,5.79,653.36,rice
Satara,27,10,93,25.13,44.98,6.98,1061.89,coffee
Akola,82,81,12,31.35,72.03,6.84,979.64,mango
Beed,68,99,50,22.56,84.75,5.73,1085.32,rice
Akola,73,112,105,22.23,84.57,6.38,672.14,jute
Satara,46,97,142,25.33,56.93,6.11,445.27,banana
Ahmednagar,23,96,151,28.86,75.53,7.42,380.5,coconut
Sangli,79,26,141,29.84,84.46,6.08,415.19,kidneybeans
Jalgaon,55,14,124,27.22,41.04,6.47,723.95,pomegranate
Parbhani,14,90,11,30.36,72.48,7.42,1047.74,mango
Osmanabad,98,50,40,31.1,86.12,6.1,447.48,rice
Kolhapur,57,124,173,20.68,60.06,6.18,404.83,banana
Jalgaon,122,40,94,34.82,57.4,6.32,541.63,mango
Aurangabad,27,120,54,34.39,62.58,5.84,1000.75,mothbeans
Bhandara,16,101,18,34.14,62.38,7.41,122.18,cotton
Nashik,125,131,14,29.79,70.34,5.94,1055.18,coconut
Pune,102,12,93,23.43,53.87,6.86,491.98,papaya
Akola,69,34,129,34.65,70.36,5.97,900.16,blackgram
Nashik,114,135,106,28.08,49.71,6.7,1111.44,orange
Osmanabad,36,47,138,21.61,57.06,6.01,713.14,mothbeans
Solapur,70,92,173,21.18,40.3,5.88,1071.57,blackgram
Pune,116,43,20,20.7,83.27,6.36,290.11,pigeonpeas
Solapur,126,82,97,29.87,41.29,6.82,712.46,kidneybeans
Latur,34,44,189,33.33,86.98,6.03,391.7,jute
Nagpur,96,97,175,20.5,77.98,6.94,949.46,pomegranate
Aurangabad,44,5,143,28.14,73.83,5.74,486.97,mango
Sangli,88,28,156,25.09,83.86,7.33,517.12,chickpea
Akola,124,96,132,20.53,70.45,7.34,672.65,apple
Osmanabad,136,124,115,22.84,45.51,6.26,481.39,coconut
Jalgaon,70,51,53,33.26,63.31,7.41,1153.5,chickpea
Sangli,8,89,200,31.03,57.17,5.97,1177.61,grapes
Satara,70,77,26,24.3,66.07,7.36,142.84,maize
Dhule,77,144,28,21.69,40.05,6.85,480.36,mothbeans
Bhandara,14,67,103,25.08,51.66,6.21,1083.59,apple
Amravati,1,40,106,32.71,65.36,5.88,1183.87,rice
Amravati,2,111,5,20.94,73.0,6.7,1090.1,muskmelon
Beed,73,87,167,22.71,41.21,6.62,306.11,pigeonpeas
Sangli,115,19,27,26.79,79.0,6.23,754.24,pigeonpeas
Satara,36,33,121,26.18,42.57,5.88,356.15,jute
Nagpur,103,10,167,27.79,43.57,5.64,1085.4,cotton
Nagpur,19,103,61,28.05,74.2,6.83,1110.81,mothbeans
Nagpur,56,95,147,32.06,74.69,7.45,707.88,pigeonpeas
Pune,19,119,23,28.79,80.3,6.1,582.74,jute
Ahmednagar,71,28,66,30.95,62.42,6.55,423.07,apple
Parbhani,19,145,149,21.81,80.57,5.87,878.77,mothbeans
Jalgaon,7,119,146,24.69,61.56,5.76,926.36,mothbeans
Latur,58,115,65,33.64,65.2,6.09,239.5,jute
Ahmednagar,65,55,92,25.61,84.38,7.5,253.1,banana
Amravati,68,125,24,21.84,62.98,6.29,231.24,apple
Parbhani,18,52,187,26.91,47.58,7.04,783.21,coconut
Kolhapur,118,70,201,27.9,76.12,5.5,277.46,jute
Amravati,57,91,195,32.88,80.78,6.93,574.41,grapes
Wardha,74,44,168,32.06,54.41,7.08,123.51,coffee
Beed,6,29,133,27.35,87.89,5.72,226.84,coffee
Bhandara,123,34,64,30.79,64.21,7.38,818.52,orange
Parbhani,29,121,194,28.59,58.84,6.09,430.42,muskmelon
Solapur,135,40,86,26.62,68.71,5.77,311.86,mungbean
Wardha,35,99,186,34.26,85.55,5.95,465.05,watermelon
Solapur,44,130,108,32.73,63.73,5.87,827.19,orange
Pune,42,47,76,25.76,72.09,6.53,716.77,grapes
Pune,22,81,166,27.34,68.69,6.77,808.96,coffee
Beed,2,25,197,23.09,41.35,5.74,334.93,watermelon
Akola,75,69,65,28.79,69.0,6.71,934.81,muskmelon
Parbhani,120,71,37,20.83,62.45,7.16,535.19,pigeonpeas
Sangli,122,130,144,30.72,47.2,5.72,763.84,grapes
Jalgaon,101,77,154,29.75,49.48,5.89,408.76,banana
Dhule,88,131,39,20.39,40.28,5.95,935.0,banana
Ahmednagar,115,76,62,33.72,84.17,6.22,1151.32,coconut
Bhandara,1,131,115,24.56,67.14,6.46,687.46,coffee
Dhule,109,101,40,34.94,52.79,7.26,1155.24,rice
Solapur,20,135,149,23.74,76.23,6.85,717.49,blackgram
Satara,43,68,133,27.68,74.24,5.64,225.63,banana
Osmanabad,66,130,186,25.0,64.88,6.59,493.12,watermelon
Latur,139,121,54,28.94,61.44,6.94,373.69,banana
Nagpur,97,69,190,29.36,68.86,6.79,1133.01,kidneybeans
Parbhani,62,130,45,24.77,88.36,6.16,317.53,kidneybeans
Osmanabad,78,68,130,22.92,67.96,6.51,449.03,coconut
Wardha,101,65,141,33.89,86.33,6.5,714.82,kidneybeans
Bhandara,94,75,160,33.03,87.13,7.4,1106.43,mango
Nagpur,104,51,77,34.21,70.76,7.26,1085.31,rice
Dhule,46,129,15,32.09,81.07,6.73,1188.23,coffee
Kolhapur,25,109,16,23.93,44.68,6.96,545.57,cotton
Sangli,120,20,195,34.05,40.18,5.54,169.45,watermelon
Pune,53,49,89,27.41,40.23,6.13,948.45,apple
Beed,116,84,27,25.37,55.8,6.37,664.68,kidneybeans
Bhandara,17,34,163,25.42,71.26,6.78,638.35,jute
Jalgaon,137,34,134,23.96,53.61,7.42,1062.4,rice
Satara,137,75,155,30.06,55.33,7.15,355.0,mungbean
Aurangabad,113,128,92,24.1,80.87,5.92,263.27,mungbean
Sangli,114,93,34,21.3,88.29,6.91,210.65,chickpea
Nashik,71,100,18,31.19,86.43,6.46,382.5,lentil
Latur,1,71,117,32.02,55.61,5.59,501.91,orange
Nashik,127,47,165,32.89,66.52,6.24,661.18,orange
Latur,135,74,98,27.37,40.22,6.59,880.99,grapes
Bhandara,85,69,73,26.32,67.62,6.72,127.76,grapes
Latur,36,37,108,31.02,55.9,7.04,132.5,orange
Solapur,70,135,19,28.01,67.02,5.89,1060.85,lentil
Kolhapur,133,66,56,31.35,55.66,6.69,632.78,mango
Solapur,104,52,157,33.82,80.68,7.45,114.5,papaya
Nagpur,76,20,113,23.58,74.89,6.46,574.41,mungbean
Aurangabad,23,122,190,23.15,40.38,6.24,265.64,banana
Nanded,59,119,151,20.68,58.34,6.49,848.97,maize
Beed,19,53,76,28.44,85.92,6.3,123.01,rice
Beed,98,11,82,26.86,79.16,6.12,768.58,grapes
Kolhapur,61,117,163,31.82,40.15,7.05,268.25,orange
Amravati,41,118,47,32.51,84.0,6.65,311.22,banana
Satara,45,21,26,31.55,77.34,5.65,319.02,grapes
Satara,36,115,28,29.32,78.38,6.87,801.87,pomegranate
Beed,40,87,151,33.27,68.52,6.96,229.4,coconut
Latur,58,44,163,33.92,46.15,7.22,279.62,watermelon
Dhule,130,68,49,20.53,44.98,6.76,1099.88,lentil
Satara,5,112,164,21.5,56.14,5.87,1129.92,apple
Jalgaon,114,115,173,23.83,71.8,7.09,665.08,lentil
Parbhani,39,5,41,32.25,70.78,5.54,875.72,banana
Parbhani,51,121,105,26.31,86.83,6.43,684.47,cotton
Jalgaon,17,10,73,32.74,41.56,7.17,106.6,orange
Solapur,92,43,44,23.41,63.65,6.25,190.87,lentil
Nagpur,93,62,79,32.14,75.4,7.42,329.95,kidneybeans
Pune,111,87,46,34.03,86.32,5.77,417.14,maize
Solapur,62,57,120,21.55,77.11,7.05,478.08,rice
Nashik,104,96,14,22.42,40.42,5.51,635.0,mothbeans
Pune,136,68,38,26.5,76.71,6.49,406.19,apple
Beed,111,133,58,22.29,82.87,7.33,1192.27,chickpea
Ahmednagar,88,69,146,29.04,62.05,6.09,907.81,mungbean
Parbhani,37,10,14,21.26,89.2,6.87,892.6,lentil
Beed,5,93,126,20.66,65.39,5.56,984.63,chickpea
Osmanabad,127,97,31,28.02,78.02,7.04,572.59,orange
Beed,101,24,66,24.32,69.99,6.57,546.39,mango
Nashik,60,36,152,34.35,75.76,6.24,129.0,papaya
Bhandara,111,144,86,26.84,64.25,5.99,819.05,watermelon
Amravati,6,34,31,23.34,86.88,6.44,318.91,chickpea
Bhandara,6,115,61,23.77,61.49,6.22,346.12,papaya
Ahmednagar,63,141,63,27.6,68.97,7.09,450.05,grapes
Parbhani,50,67,37,31.95,64.74,6.21,744.55,kidneybeans
Dhule,41,139,65,28.42,56.27,6.55,456.35,grapes
Nagpur,40,50,52,20.98,57.66,6.56,588.13,kidneybeans
Aurangabad,130,137,102,31.87,71.26,6.34,984.54,pigeonpeas
Akola,10,142,168,33.89,85.98,6.76,125.04,jute
Akola,52,62,163,25.28,44.87,6.84,295.07,watermelon
Sangli,130,57,121,21.17,62.54,6.25,457.76,lentil
Akola,34,31,19,23.83,86.62,6.78,766.15,apple
Parbhani,76,124,131,34.11,58.52,5.97,1140.85,muskmelon
Dhule,105,19,26,20.63,82.49,5.63,743.84,coffee
Osmanabad,5,128,122,21.86,53.13,7.32,841.51,apple
Sangli,60,28,130,34.16,68.83,6.42,895.67,cotton
Nanded,3,73,91,31.26,56.39,6.64,1059.22,chickpea
Wardha,110,24,82,25.93,71.86,7.33,966.78,mothbeans
Solapur,60,59,194,32.53,44.1,5.69,400.43,grapes
Nashik,1,67,56,24.55,74.22,7.29,385.7,pigeonpeas
Akola,96,34,10,21.03,49.37,6.28,770.59,kidneybeans
Aurangabad,130,84,146,31.3,84.83,5.68,579.84,apple
Amravati,87,99,187,25.8,75.89,6.88,384.07,blackgram
Pune,135,20,13,34.27,81.44,6.04,599.39,rice
Latur,139,51,170,20.55,63.46,6.38,181.88,grapes
Pune,106,144,88,30.71,79.89,6.72,815.54,pigeonpeas
Sangli,139,129,164,33.61,84.43,6.27,183.01,chickpea
Solapur,137,44,53,32.04,52.4,6.81,116.33,mungbean
Akola,61,46,189,24.15,67.56,6.55,879.78,jute
Nanded,11,109,113,33.39,48.97,5.69,645.06,coffee
Solapur,79,50,107,28.28,62.53,6.1,704.22,coconut
Aurangabad,62,47,59,26.07,49.38,5.9,380.29,banana
Wardha,85,49,76,20.47,59.82,6.31,340.96,mothbeans
Sangli,108,22,122,21.79,41.6,7.46,592.42,mungbean
Sangli,33,58,68,24.27,44.82,5.79,282.98,banana
Nashik,23,9,167,26.8,63.35,6.72,104.4,jute
Aurangabad,15,56,51,20.02,70.56,6.44,865.22,mango
Ahmednagar,102,10,203,34.62,74.11,6.68,636.59,orange
Dhule,121,122,166,22.86,50.59,6.51,138.01,papaya
Ahmednagar,140,54,21,31.01,54.59,6.04,778.01,apple
Solapur,138,38,24,33.1,57.35,6.03,132.96,chickpea
Satara,86,77,51,26.2,66.26,6.97,564.24,papaya
Nanded,8,107,150,24.65,71.47,7.36,719.43,watermelon
Jalgaon,70,127,107,33.67,51.63,6.53,325.82,apple
Nanded,26,88,48,27.53,49.55,5.55,527.51,orange
Wardha,107,114,27,20.11,89.62,7.05,857.22,mothbeans
Nanded,107,56,150,26.02,45.97,7.36,384.87,pigeonpeas
Satara,138,50,33,24.45,42.09,6.81,249.88,apple
Latur,86,19,105,22.58,44.57,5.65,820.14,watermelon
Amravati,118,127,75,24.4,79.0,7.5,1139.73,cotton
Nanded,88,77,69,27.63,79.89,5.78,774.28,rice
Parbhani,115,25,188,32.19,64.87,6.79,140.64,mungbean
Nashik,63,24,163,27.73,66.29,6.08,456.36,apple
Pune,118,98,72,27.33,65.57,5.66,585.32,maize
Akola,10,119,136,31.98,40.99,5.56,899.06,orange
Nanded,96,138,98,25.53,43.54,6.26,198.47,pomegranate
Wardha,58,114,130,34.08,53.32,6.86,357.45,rice
Satara,95,131,185,24.51,87.69,7.21,790.32,mungbean
Amravati,46,141,185,29.51,64.23,5.58,432.61,kidneybeans
Sangli,122,19,173,22.13,58.89,5.63,558.18,lentil
Kolhapur,33,14,14,29.43,40.17,7.05,1060.63,rice
Dhule,59,117,94,20.33,80.48,5.71,657.91,cotton
Latur,17,22,183,22.13,65.87,5.52,138.31,cotton
Parbhani,49,102,45,20.92,88.01,7.12,782.53,grapes
Bhandara,59,109,89,33.54,56.11,6.49,862.74,kidneybeans
Pune,85,48,30,31.25,69.01,5.69,1190.76,cotton
Pune,140,100,35,31.64,44.98,6.39,639.46,mothbeans
Nashik,81,143,198,26.2,86.84,5.82,312.79,mothbeans
Satara,42,5,37,21.37,67.79,6.89,862.27,papaya
Wardha,65,11,178,34.08,72.6,7.34,913.55,rice
Dhule,75,123,71,28.84,58.33,7.49,451.51,chickpea
Akola,117,139,119,24.89,60.32,5.97,887.36,papaya
Ahmednagar,18,140,169,24.12,71.68,6.42,223.5,mango
Pune,38,141,149,24.6,51.18,7.0,635.46,papaya
Nanded,91,53,175,24.81,68.41,7.44,434.65,mothbeans
Beed,90,134,127,27.93,81.42,5.56,340.16,mothbeans
Kolhapur,31,12,22,34.05,73.24,6.83,333.01,kidneybeans
Solapur,120,110,110,23.93,46.05,6.24,1016.68,apple
Bhandara,93,56,60,21.0,73.17,6.15,568.48,watermelon
Nagpur,85,99,136,27.21,68.5,6.98,795.91,coconut
Nagpur,46,139,191,32.85,89.51,5.57,699.98,banana
Beed,73,96,55,28.42,41.88,6.9,735.51,coffee
Kolhapur,108,78,205,20.37,43.23,6.77,928.37,banana
Satara,99,141,103,29.87,71.73,7.26,570.65,banana
Aurangabad,122,72,185,26.6,44.1,6.02,770.16,jute
Ahmednagar,33,95,130,31.55,71.75,6.23,660.14,coconut
Bhandara,130,19,86,30.41,82.71,7.06,507.35,mungbean
Solapur,106,40,39,30.77,55.04,5.66,831.68,pigeonpeas
Latur,28,98,19,29.16,44.66,6.16,707.52,cotton
Jalgaon,84,30,201,32.43,47.68,6.99,1149.2,banana
Latur,113,111,74,24.63,73.97,6.07,612.91,banana
Pune,113,41,37,33.95,46.51,6.07,113.06,pomegranate
Jalgaon,25,37,53,28.88,57.15,5.92,780.2,grapes
Akola,139,75,98,33.21,71.69,6.06,195.44,muskmelon
Nagpur,102,87,78,30.55,86.66,6.33,692.65,papaya
Satara,107,41,153,29.1,52.12,6.74,570.47,lentil
Solapur,115,63,85,22.91,60.95,6.3,839.53,grapes
Latur,59,26,68,28.95,79.71,6.25,185.58,papaya
Amravati,132,36,23,32.34,76.35,5.96,815.34,mango
Osmanabad,45,72,84,28.01,45.22,6.47,990.99,mango
Jalgaon,130,16,144,23.83,85.45,6.26,753.71,mungbean
Dhule,18,19,203,27.54,76.94,6.04,1028.43,kidneybeans
Sangli,112,113,32,21.87,41.22,5.66,149.79,apple
Sangli,54,77,29,23.52,82.86,6.84,136.85,coffee
Nagpur,95,40,8,21.66,56.44,5.97,1114.63,coffee
Nagpur,98,129,26,25.03,66.65,7.03,758.1,orange
Amravati,43,90,162,22.9,46.93,6.78,1084.33,grapes
Jalgaon,48,108,162,25.91,70.73,6.15,188.52,watermelon
Kolhapur,12,75,100,32.14,64.23,5.76,630.1,pigeonpeas
Osmanabad,131,27,78,30.7,43.11,7.14,978.68,blackgram
Akola,42,107,44,32.37,55.53,6.6,290.95,blackgram
Latur,57,55,86,33.45,42.43,6.08,914.07,cotton
Nagpur,120,19,59,32.26,76.52,6.59,929.93,maize
Wardha,125,131,69,33.17,49.12,5.6,559.29,orange
Osmanabad,125,144,42,30.75,60.05,5.77,992.88,muskmelon
Nanded,122,83,165,23.04,81.97,7.44,423.69,blackgram
Aurangabad,23,23,106,25.73,47.68,5.91,222.79,papaya
Beed,53,143,106,24.37,86.16,6.76,655.27,orange
Sangli,28,16,94,30.7,40.6,6.8,333.28,mango
Osmanabad,115,144,103,29.46,79.11,7.44,1161.1,banana
Bhandara,47,52,88,23.78,82.95,6.84,481.04,cotton
Aurangabad,48,61,100,27.24,64.56,6.12,721.12,mango
Beed,44,39,88,32.13,53.18,6.27,693.26,jute
Satara,1,120,148,23.58,51.51,6.2,488.26,papaya
Kolhapur,35,124,129,34.76,63.35,7.44,968.58,kidneybeans
Aurangabad,37,12,139,30.78,70.82,7.19,1151.46,rice
Wardha,68,26,19,24.09,83.42,5.9,1160.46,watermelon
Jalgaon,29,6,55,28.61,51.87,5.84,764.12,papaya
Parbhani,137,130,163,23.45,89.92,6.04,842.96,chickpea
Jalgaon,6,6,203,27.83,75.19,6.12,708.3,coffee
Beed,0,57,64,34.75,40.08,6.22,644.18,pigeonpeas
Akola,24,26,174,31.11,79.54,6.48,868.13,coconut
Nagpur,38,82,202,28.67,63.63,6.75,428.47,coffee
Solapur,63,7,103,30.86,79.45,6.45,485.34,coconut
Amravati,112,144,136,22.15,60.75,5.54,354.5,grapes
Akola,85,143,147,22.44,71.91,6.27,538.7,pomegranate
Latur,101,26,87,29.73,69.21,6.69,476.74,pomegranate
Wardha,67,18,138,28.54,49.06,6.88,1020.44,mothbeans
Sangli,61,49,6,27.35,46.25,5.9,304.53,coconut
Solapur,91,46,101,34.48,78.26,6.4,992.43,blackgram
Satara,76,74,58,30.49,63.66,6.1,945.61,watermelon
Osmanabad,22,120,45,32.4,44.62,7.1,406.74,coconut
Akola,27,139,155,25.57,44.84,7.3,453.23,blackgram
Sangli,4,87,183,26.74,65.49,5.56,991.47,grapes
Jalgaon,113,122,75,28.47,45.87,7.36,635.44,watermelon
Nanded,140,144,165,27.62,83.94,7.03,1191.56,apple
Wardha,114,113,140,28.9,78.3,7.06,854.53,lentil
Aurangabad,60,36,137,23.64,78.36,5.61,1099.13,lentil
Solapur,15,94,181,23.95,67.98,6.43,848.27,mungbean
Latur,42,31,171,23.57,61.59,6.07,1126.87,mothbeans
Kolhapur,108,94,147,26.72,60.43,6.84,289.89,papaya
Beed,122,22,75,22.33,56.88,5.51,432.74,papaya
Aurangabad,94,66,146,29.59,69.72,7.01,940.03,kidneybeans
Latur,12,92,40,20.69,80.85,7.17,626.72,coffee
Beed,112,109,17,20.86,41.49,6.15,698.17,watermelon
Sangli,20,8,85,29.6,63.05,5.7,1104.13,coconut
Nagpur,32,95,57,21.89,55.32,7.3,1188.31,mothbeans
Amravati,123,23,149,22.21,60.93,6.24,1099.54,mungbean
Dhule,57,8,129,34.2,45.09,6.51,507.97,grapes
Jalgaon,57,120,127,27.15,87.64,6.69,1026.59,coffee
Kolhapur,56,80,35,23.1,40.52,6.43,200.76,papaya
Sangli,18,28,45,20.99,41.97,7.44,613.6,watermelon
Dhule,32,42,128,25.46,55.84,6.94,309.42,pomegranate
Parbhani,121,142,180,27.54,64.04,7.05,855.36,kidneybeans
Nagpur,73,19,76,23.81,76.72,6.5,1036.64,maize
Sangli,89,9,127,21.63,65.52,6.53,733.28,jute
Sangli,46,86,132,27.76,70.57,6.13,1040.08,maize
Parbhani,23,25,131,21.16,45.51,7.46,220.07,mothbeans
Pune,88,96,186,33.8,68.34,6.68,909.02,mothbeans
Pune,87,102,133,28.0,81.37,7.09,117.76,watermelon
Nanded,117,121,121,31.43,85.28,7.36,984.1,lentil
Solapur,35,101,140,23.57,40.97,6.79,301.96,coconut
Pune,2,17,147,23.13,54.1,6.89,449.82,chickpea
Aurangabad,48,36,139,32.47,58.16,5.95,131.0,apple
Wardha,130,5,194,33.53,77.91,5.77,863.05,cotton
Wardha,43,78,108,29.93,69.01,5.98,924.81,jute
Osmanabad,0,63,146,32.55,89.94,7.47,305.56,papaya
Parbhani,69,73,205,29.01,61.01,6.96,371.81,lentil
Osmanabad,69,116,23,21.53,73.6,6.45,877.17,cotton
Pune,42,25,189,33.26,68.32,6.42,869.22,banana
Pune,42,50,26,27.77,47.13,5.62,493.23,grapes
Satara,139,45,150,29.55,62.96,5.83,1042.05,mothbeans
Ahmednagar,68,57,18,30.98,79.84,7.38,798.52,grapes
Parbhani,39,67,102,24.71,58.49,7.36,489.91,muskmelon
Aurangabad,105,108,31,28.89,68.24,6.03,630.26,apple
Nanded,101,66,121,31.63,63.1,6.13,724.25,banana
Bhandara,71,33,103,34.31,80.13,6.08,517.28,apple
Solapur,106,74,199,34.66,50.0,7.42,1157.44,apple
Satara,120,83,205,29.11,86.43,7.35,527.72,mothbeans
Nagpur,0,56,75,30.34,82.63,5.57,546.35,rice
Nagpur,10,89,65,26.55,50.69,6.52,1154.05,rice
Pune,47,82,25,30.86,53.44,6.26,1163.57,jute
Amravati,66,44,96,29.35,70.13,5.65,990.15,chickpea
Dhule,123,112,75,20.41,71.89,6.06,201.62,muskmelon
Aurangabad,73,42,156,23.86,41.86,6.25,1102.26,kidneybeans
Latur,29,114,137,30.06,55.34,5.62,422.35,jute
Nagpur,59,91,19,28.92,73.16,5.66,998.46,coconut
Aurangabad,19,43,158,29.36,74.51,5.94,612.73,jute
Aurangabad,51,112,52,26.34,52.22,7.33,1019.15,maize
Jalgaon,48,12,26,23.57,45.87,6.06,824.7,blackgram
Kolhapur,64,8,35,30.49,50.13,6.48,372.5,watermelon
Jalgaon,99,64,162,33.91,64.91,5.8,730.18,cotton
Sangli,29,68,158,30.71,88.58,6.18,285.91,muskmelon
Osmanabad,58,58,97,25.3,61.81,7.08,969.05,maize
Bhandara,54,88,193,21.77,70.63,7.01,355.34,pigeonpeas
Jalgaon,108,98,29,29.49,58.13,7.08,171.14,lentil
Nagpur,125,18,177,29.78,65.53,6.12,795.92,kidneybeans
Pune,8,122,46,22.23,68.63,6.91,537.27,coconut
Nanded,98,33,165,25.48,82.66,7.12,447.8,jute
Jalgaon,7,42,20,30.6,52.17,5.7,203.03,pigeonpeas
Amravati,30,29,176,34.86,72.96,7.15,298.8,banana
Ahmednagar,17,132,150,23.81,78.33,5.62,277.7,pigeonpeas
Nanded,81,134,158,23.96,89.28,5.56,845.11,jute
Ahmednagar,25,137,142,28.59,74.33,7.17,1102.04,muskmelon
Ahmednagar,16,122,171,22.2,64.5,5.66,760.16,banana
Satara,25,44,102,23.92,77.57,6.93,944.7,orange
Kolhapur,80,139,201,32.84,54.97,6.34,839.59,lentil
Nashik,39,13,165,34.26,88.37,6.03,1103.48,grapes
Osmanabad,126,52,54,26.51,85.05,7.26,228.13,mothbeans
Satara,44,117,5,29.59,60.7,5.98,724.01,jute
Sangli,39,17,55,26.15,83.63,6.68,695.67,papaya
Dhule,131,125,15,20.4,68.7,7.16,1145.12,rice
Wardha,65,93,183,20.06,87.73,7.39,140.06,mungbean
Beed,90,40,155,26.52,84.99,5.71,479.94,watermelon
Dhule,29,144,148,32.16,53.14,6.55,757.01,pomegranate
Aurangabad,123,31,163,32.92,64.72,7.06,499.7,coconut
Dhule,115,113,80,30.85,71.15,6.22,164.41,kidneybeans
Ahmednagar,57,30,173,20.61,83.03,6.48,1091.96,maize
Dhule,71,104,154,33.48,53.44,7.02,225.57,watermelon
Beed,106,60,30,20.91,43.15,7.37,1148.7,mothbeans
Satara,75,29,100,20.71,78.78,5.79,601.91,coffee
Solapur,131,123,49,27.2,74.37,6.47,925.73,papaya
Nagpur,6,23,107,23.4,79.57,6.73,953.94,pigeonpeas
Akola,37,24,176,29.34,45.75,6.6,977.56,pomegranate
Osmanabad,96,12,107,33.03,61.96,5.65,216.25,kidneybeans
Aurangabad,96,145,69,27.07,65.91,6.79,1083.5,apple
Parbhani,75,13,173,20.98,56.47,7.26,1091.67,pigeonpeas
Kolhapur,78,144,141,21.41,51.8,6.71,577.53,apple
Satara,100,5,21,20.79,64.95,6.72,573.71,coconut
Satara,123,109,185,32.94,84.02,7.2,392.5,blackgram
Kolhapur,137,34,199,27.76,78.07,7.23,655.48,banana
Amravati,112,90,189,23.15,48.47,6.31,817.88,muskmelon
Aurangabad,12,130,31,29.35,87.64,5.64,1155.43,lentil
Aurangabad,122,112,175,25.82,49.62,5.76,631.61,mothbeans
Akola,32,123,47,22.74,69.48,6.79,645.98,jute
Amravati,1,18,25,27.86,71.18,6.99,235.34,muskmelon
Aurangabad,131,51,126,24.1,46.29,7.03,142.53,chickpea
Akola,116,40,157,33.22,49.53,6.95,399.11,muskmelon
Kolhapur,112,132,41,31.24,44.98,7.06,631.3,apple
Jalgaon,22,131,65,21.17,74.52,7.01,1093.11,papaya
Solapur,58,113,98,21.62,85.3,5.51,241.87,papaya
Jalgaon,61,22,58,23.55,64.06,5.99,1028.77,coffee
Ahmednagar,26,41,51,31.91,71.7,6.1,544.31,mango
Dhule,132,36,14,30.75,61.03,6.8,579.27,muskmelon
Aurangabad,24,54,158,31.96,44.28,6.06,368.62,muskmelon
Parbhani,93,80,35,22.21,55.43,6.16,917.44,chickpea
Kolhapur,70,22,202,33.35,64.28,5.81,134.55,mungbean
Nashik,12,19,140,31.68,61.38,6.53,196.02,watermelon
Wardha,15,83,45,25.18,65.25,7.23,1081.14,coconut
Sangli,30,33,182,29.88,78.46,6.81,1130.33,grapes
Dhule,8,70,62,21.67,85.22,7.15,1034.09,maize
Pune,121,121,136,32.99,42.95,7.2,219.42,banana
Nashik,85,137,13,29.03,43.27,5.64,659.76,pigeonpeas
Akola,10,63,194,31.56,69.9,6.69,1070.51,cotton
Akola,55,88,132,24.68,71.34,6.41,626.49,mungbean
Bhandara,54,40,75,20.33,62.48,5.67,948.82,grapes
Akola,96,139,144,32.47,47.76,5.86,602.56,grapes
Kolhapur,20,21,205,28.46,75.5,6.97,362.11,coconut
Osmanabad,140,22,26,24.19,52.22,6.3,597.1,coffee
Nashik,107,15,160,32.52,60.57,7.33,689.58,banana
Kolhapur,5,73,24,20.18,40.98,6.09,870.01,kidneybeans
Aurangabad,51,131,19,28.67,54.41,6.98,807.35,kidneybeans
Osmanabad,58,24,109,24.11,78.45,7.5,811.08,rice
Aurangabad,131,106,163,31.07,41.94,6.79,789.27,blackgram
Satara,76,18,158,32.81,67.36,6.28,652.03,mothbeans
Akola,33,33,28,20.36,65.67,7.43,807.21,mango
Solapur,27,111,119,25.73,74.88,7.4,206.64,muskmelon
Nashik,79,122,33,31.45,89.77,6.5,243.35,maize
